Player,Pos,Age,Tm,G,GS,MP,FG,FGA
Channing Frye,C,35,CLE,36,6,9.5,1.2,3.3
Markelle Fultz,SG,20,PHI,19,15,22.5,3.4,8.2
Langston Galloway,SG,27,DET,80,4,21.8,2.9,7.3
Billy Garrett,SG,24,NYK,4,0,15.8,2.8,6.8
Marc Gasol,C,34,TOT,79,72,30.8,4.9,11.0
Marc Gasol,C,34,MEM,53,53,33.7,5.7,12.9
Marc Gasol,C,34,TOR,26,19,24.9,3.3,7.2
Pau Gasol,C,38,TOT,30,6,12.0,1.4,3.1
Pau Gasol,C,38,SAS,27,6,12.2,1.5,3.3
Pau Gasol,C,38,MIL,3,0,10.0,0.3,2.0
Rudy Gay,PF,32,SAS,69,51,26.7,5.4,10.8
Paul George,SF,28,OKC,77,77,36.9,9.2,21.0
Taj Gibson,PF,33,MIN,70,57,24.1,4.3,7.7
Harry Giles,PF,20,SAC,58,0,14.1,3.0,6.0
Rudy Gobert,C,26,UTA,81,80,31.8,5.9,8.8
Brandon Goodwin,PG,23,DEN,16,0,3.6,0.4,1.4
Aaron Gordon,PF,23,ORL,78,78,33.8,6.0,13.4
Eric Gordon,SG,30,HOU,68,53,31.7,5.6,13.8
Devonte' Graham,PG,23,CHO,46,3,14.7,1.6,4.7
Treveon Graham,SG,25,BRK,35,21,20.4,1.8,5.5
Jerami Grant,PF,24,OKC,80,77,32.7,5.1,10.3
Jerian Grant,PG,26,ORL,60,1,15.7,1.5,3.7
Donte Grantham,SF,23,OKC,3,0,0.7,0.0,0.7
Danny Green,SG,31,TOR,80,80,27.7,3.7,7.9
Draymond Green,PF,28,GSW,66,66,31.3,2.8,6.4
Gerald Green,SG,33,HOU,73,0,20.2,3.2,7.9
JaMychal Green,PF,28,TOT,65,6,21.1,3.5,7.3
JaMychal Green,PF,28,MEM,41,4,22.0,3.7,7.6
Jeff Green,PF,32,WAS,77,44,27.2,4.2,8.9
Blake Griffin,PF,29,DET,75,75,35.0,8.3,17.9
Daniel Hamilton,SG,23,ATL,19,3,10.7,1.2,3.2
Dusty Hannahs,SG,25,MEM,2,0,13.0,1.5,6.0
Tim Hardaway Jr.,SG,26,TOT,65,63,31.6,6.0,15.3
Tim Hardaway Jr.,SG,26,NYK,46,46,32.6,6.1,15.8
Tim Hardaway Jr.,SG,26,DAL,19,17,29.4,5.7,14.1
James Harden,PG,29,HOU,78,78,36.8,10.8,24.5
Maurice Harkless,SF,25,POR,60,53,23.6,3.2,6.5
Devin Harris,PG,35,DAL,68,2,15.8,1.9,5.1
Gary Harris,SG,24,DEN,57,48,28.8,4.7,11.2
Joe Harris,SG,27,BRK,76,76,30.2,4.9,9.8
Tobias Harris,PF,26,TOT,82,82,34.7,7.5,15.3
Tobias Harris,PF,26,PHI,27,27,35.0,6.9,14.8
Andrew Harrison,PG,24,TOT,17,0,11.0,0.9,3.1
Andrew Harrison,PG,24,MEM,1,0,5.0,1.0,2.0
Andrew Harrison,PG,24,CLE,10,0,14.4,1.2,3.9
Andrew Harrison,PG,24,NOP,6,0,6.3,0.5,2.0
Shaquille Harrison,SG,25,CHI,73,11,19.6,2.5,5.8
Josh Hart,SG,23,LAL,67,22,25.6,2.8,6.9
Isaiah Hartenstein,PF,20,HOU,28,0,7.9,0.7,1.5
Udonis Haslem,C,38,MIA,10,1,7.4,1.1,3.3
Gordon Hayward,PF,28,BOS,72,18,25.9,4.1,8.8
John Henson,C,28,MIL,14,0,13.4,2.2,4.8
Juancho Hernangómez,PF,23,DEN,70,25,19.4,2.0,4.5
Willy Hernangómez,C,24,CHO,58,3,14.0,2.6,5.1
Mario Hezonja,SF,23,NYK,58,24,20.8,3.3,8.0
Isaiah Hicks,PF,24,NYK,3,0,10.7,1.3,2.7
Buddy Hield,SG,26,SAC,82,82,31.9,7.6,16.6
Haywood Highsmith,SF,22,PHI,5,0,8.0,0.8,2.0
Nenê,C,36,HOU,42,2,13.0,1.4,2.8
George Hill,PG,32,TOT,60,13,21.7,2.8,6.3
George Hill,PG,32,CLE,13,13,26.5,4.2,8.2
George Hill,PG,32,MIL,47,0,20.4,2.4,5.7
Solomon Hill,SF,27,NOP,44,15,20.0,1.5,4.0
Aaron Holiday,PG,22,IND,50,0,12.9,2.1,5.2
Jrue Holiday,SG,28,NOP,67,67,35.9,8.2,17.3
Justin Holiday,SG,29,TOT,82,77,31.8,3.7,9.5
Justin Holiday,SG,29,CHI,38,38,34.9,4.0,10.4
Justin Holiday,SG,29,MEM,44,39,29.1,3.4,8.7
John Holland,SF,30,CLE,1,0,1.0,0.0,0.0
Rondae Hollis-Jefferson,SF,24,BRK,59,21,20.9,3.4,8.3
Richaun Holmes,C,25,PHO,70,4,16.9,3.2,5.2
Rodney Hood,SG,26,TOT,72,49,26.3,4.1,9.3
Rodney Hood,SG,26,CLE,45,45,27.4,4.3,10.1
Rodney Hood,SG,26,POR,27,4,24.4,3.6,8.0
Al Horford,C,32,BOS,68,68,29.0,5.7,10.6
Danuel House Jr.,SF,25,HOU,39,13,25.1,3.0,6.5
Dwight Howard,C,33,WAS,9,9,25.6,4.8,7.7
Kevin Huerter,SG,20,ATL,75,59,27.3,3.7,8.8
Isaac Humphries,C,21,ATL,5,1,11.2,1.2,4.2
R.J. Hunter,SG,25,BOS,1,0,26.0,6.0,13.0
Chandler Hutchison,SF,22,CHI,44,14,20.3,2.2,4.8
Serge Ibaka,C,29,TOR,74,51,27.2,6.3,11.9
Andre Iguodala,SF,35,GSW,68,13,23.2,2.2,4.4
Ersan İlyasova,PF,31,MIL,67,7,18.4,2.5,5.7
Joe Ingles,PF,31,UTA,82,82,31.3,4.4,9.8
Andre Ingram,SG,33,LAL,4,0,3.8,0.0,1.5
Brandon Ingram,SF,21,LAL,52,52,33.8,7.0,14.0
Kyrie Irving,PG,26,BOS,67,67,33.0,9.0,18.5
Jonathan Isaac,PF,21,ORL,75,64,26.6,3.5,8.1
Wes Iwundu,SF,24,ORL,68,13,18.1,1.7,4.0
Demetrius Jackson,PG,24,PHI,6,0,6.5,1.3,2.5
Frank Jackson,PG,20,NOP,61,16,19.2,3.2,7.3
Jaren Jackson Jr.,PF,19,MEM,58,56,26.1,5.1,10.2
Josh Jackson,SG,21,PHO,79,29,25.2,4.4,10.6
Justin Jackson,SF,23,TOT,81,14,19.9,2.7,6.0
Justin Jackson,SF,23,SAC,52,3,20.8,2.4,5.7
Justin Jackson,SF,23,DAL,29,11,18.3,3.2,6.6
Reggie Jackson,PG,28,DET,82,82,27.9,5.4,12.8
LeBron James,SF,34,LAL,55,55,35.2,10.1,19.9
Amile Jefferson,PF,25,ORL,12,0,5.7,0.8,1.3
John Jenkins,SG,27,TOT,26,0,12.8,1.6,4.0
John Jenkins,SG,27,WAS,4,0,3.5,0.5,0.5
John Jenkins,SG,27,NYK,22,0,14.5,1.8,4.7
Jonas Jerebko,PF,31,GSW,73,6,16.7,2.2,4.9
Alize Johnson,PF,22,IND,14,0,4.6,0.3,1.1
Amir Johnson,C,31,PHI,51,6,10.4,1.5,3.1
B.J. Johnson,SF,23,TOT,7,0,7.0,1.3,2.6
B.J. Johnson,SF,23,ATL,6,0,7.2,1.3,2.7
B.J. Johnson,SF,23,SAC,1,0,6.0,1.0,2.0
James Johnson,PF,31,MIA,55,33,21.2,3.0,6.9
Stanley Johnson,SF,22,TOT,66,7,18.3,2.6,6.7
Stanley Johnson,SF,22,DET,48,7,20.0,2.8,7.3
Stanley Johnson,SF,22,NOP,18,0,13.7,2.1,5.1
Tyler Johnson,PG,26,TOT,57,22,26.8,3.8,9.2
Tyler Johnson,PG,26,MIA,44,10,25.5,3.9,9.1
Tyler Johnson,PG,26,PHO,13,12,31.2,3.5,9.6
Wesley Johnson,SF,31,TOT,38,13,14.1,1.2,3.4
Wesley Johnson,SF,31,NOP,26,13,14.5,1.3,3.4
Wesley Johnson,SF,31,WAS,12,0,13.1,0.8,3.3
Nikola Jokić,C,23,DEN,80,80,31.3,7.7,15.1
Damian Jones,C,23,GSW,24,22,17.1,2.2,3.1
Derrick Jones Jr.,SF,21,MIA,60,14,19.2,2.7,5.4
Jalen Jones,SF,25,CLE,16,0,13.4,1.6,3.9
Jemerrio Jones,SF,23,LAL,6,2,23.8,2.0,5.5
Terrence Jones,PF,27,HOU,2,0,2.5,0.5,2.0
Tyus Jones,PG,22,MIN,68,23,22.9,2.7,6.6
DeAndre Jordan,C,30,TOT,69,69,29.7,4.1,6.5
DeAndre Jordan,C,30,DAL,50,50,31.1,4.2,6.5
DeAndre Jordan,C,30,NYK,19,19,25.9,4.1,6.5
Cory Joseph,PG,27,IND,82,9,25.2,2.8,6.7
Frank Kaminsky,C,25,CHO,47,0,16.1,2.9,6.3
Luke Kennard,SG,22,DET,63,10,22.8,3.6,8.3
Michael Kidd-Gilchrist,PF,25,CHO,64,3,18.4,2.5,5.2
George King,SF,25,PHO,1,0,6.0,0.0,0.0
Maxi Kleber,PF,27,DAL,71,18,21.2,2.5,5.4
Brandon Knight,PG,27,TOT,39,26,18.9,2.5,6.7
Brandon Knight,PG,27,HOU,12,0,9.8,0.9,3.9
Brandon Knight,PG,27,CLE,27,26,22.9,3.3,7.9
Kevin Knox,PF,19,NYK,75,57,28.8,4.5,12.2
Furkan Korkmaz,SG,21,PHI,48,7,14.1,2.0,5.1
Luke Kornet,PF,23,NYK,46,18,17.0,2.3,6.2
Kyle Korver,PF,37,CLE,16,0,15.7,2.2,4.8
Kyle Korver,SG,37,UTA,54,0,20.1,3.1,7.5
Kosta Koufos,C,29,SAC,42,1,12.0,1.7,3.6
Rodions Kurucs,SF,20,BRK,63,46,20.5,3.2,7.1
Kyle Kuzma,PF,23,LAL,70,68,33.1,7.1,15.5
Skal Labissière,PF,22,TOT,22,1,8.0,1.2,2.2
Skal Labissière,PF,22,SAC,13,0,8.7,1.0,2.3
Skal Labissière,PF,22,POR,9,1,7.0,1.4,2.1
Jeremy Lamb,SG,26,CHO,79,55,28.5,5.5,12.4
Zach LaVine,SG,23,CHI,63,62,34.5,8.4,18.0
Jake Layman,SF,24,POR,71,33,18.7,3.0,6.0
T.J. Leaf,PF,21,IND,58,1,9.0,1.7,3.2
Courtney Lee,SG,33,TOT,34,6,12.6,1.6,3.8
Courtney Lee,SG,33,NYK,12,2,13.3,1.8,3.9
Courtney Lee,SG,33,DAL,22,4,12.2,1.5,3.7
Damion Lee,SG,26,GSW,32,0,11.7,1.8,4.0
Walt Lemon Jr.,PG,26,CHI,6,3,27.8,6.3,14.5
Alex Len,C,25,ATL,77,31,20.1,4.2,8.4
Kawhi Leonard,SF,27,TOR,60,60,34.0,9.3,18.8
Meyers Leonard,C,26,POR,61,2,14.4,2.2,4.0
Jon Leuer,PF,29,DET,41,1,9.8,1.6,2.8
Caris LeVert,SF,24,BRK,40,25,26.6,5.2,12.1
Damian Lillard,PG,28,POR,80,80,35.5,8.5,19.2
Jeremy Lin,PG,30,TOT,74,4,19.4,3.2,7.3
Jeremy Lin,PG,30,ATL,51,1,19.7,3.5,7.6
Jeremy Lin,PG,30,TOR,23,3,18.8,2.5,6.7
Shaun Livingston,PG,33,GSW,64,0,15.1,1.7,3.3
Zach Lofton,SG,26,DET,1,0,4.0,0.0,1.0
Kevon Looney,C,22,GSW,80,24,18.5,2.7,4.3
Brook Lopez,C,30,MIL,81,81,28.7,4.4,9.7
Robin Lopez,C,30,CHI,74,36,21.7,4.1,7.2
Kevin Love,PF,30,CLE,22,21,27.2,5.0,12.9
Kyle Lowry,PG,32,TOR,65,65,34.0,4.7,11.4
